medcodeid,observations,term,emiscodecategoryid,description_lower,bl_dm_type,bl_dm
2279261000000115,354898,Education about diabetes and driving,17,education about diabetes and driving,Unclear,1
2279291000000114,34048,Advice about diabetes and driving,17,advice about diabetes and driving,Unclear,1
2283241000000113,39403,Diabetes structured education programme not available,32,diabetes structured education programme not available,Unclear,1
2287311000000111,532011,Diabetes Year of Care annual review,1,diabetes year of care annual review,Unclear,1
2287971000000119,43461,Diabetes mellitus in remission,32,diabetes mellitus in remission,Unclear,1
2288011000000114,240,Type I diabetes mellitus in remission,32,type i diabetes mellitus in remission,Type 1 DM,1
2288041000000110,145,Type 1 diabetes mellitus in remission,32,type 1 diabetes mellitus in remission,Type 1 DM,1
2288061000000111,32724,Type II diabetes mellitus in remission,32,type ii diabetes mellitus in remission,Type 2 DM,1
2288071000000116,17106,Type 2 diabetes mellitus in remission,32,type 2 diabetes mellitus in remission,Type 2 DM,1
2359401000000111,4816,Conversion to non-insulin injectable medication,1,conversion to non-insulin injectable medication,Unclear,1
2369111000000112,53128,Lifestyle education for diabetes,17,lifestyle education for diabetes,Unclear,1
2380481000000115,156,Enquiry about diabetic erectile dysfunction declined,1,enquiry about diabetic erectile dysfunction declined,Unclear,1
2415191000000113,4153,Diabetic peripheral neuropathic pain,27,diabetic peripheral neuropathic pain,Unclear,1
2444761000000113,3,Paediatric diabetic medicine care plan,31,paediatric diabetic medicine care plan,Unclear,1
2451551000000117,34,Diabetes education care plan,31,diabetes education care plan,Unclear,1
2460251000000115,22187,Diabetic on non-insulin injectable medication,1,diabetic on non-insulin injectable medication,Unclear,1
2460621000000111,11,Provision of diabetes identity card,32,provision of diabetes identity card,Unclear,1
2461101000000116,33,Has diabetes identity card,1,has diabetes identity card,Unclear,1
2465001000000115,3854,Diabetic injection administration education,17,diabetic injection administration education,Unclear,1
2493341000000118,1,Young Townson FootSkin Scale for Diabetic Neuropathy,32,young townson footskin scale for diabetic neuropathy,Unclear,1
2500921000000110,1328,Diabetic carbohydrate counting diet,17,diabetic carbohydrate counting diet,Unclear,1
2576431000006117,55,DR - Diabetic retinopathy,32,dr - diabetic retinopathy,Unclear,1
2586611000000113,64864,Seen by diabetes specialist nurse,37,seen by diabetes specialist nurse,Unclear,1
2586691000000116,2810,Under care of hospital-based diabetes specialist nurse,37,under care of hospital-based diabetes specialist nurse,Unclear,1
2586731000000110,5902,Under care of community-based diabetes specialist nurse,37,under care of community-based diabetes specialist nurse,Unclear,1
2597931000006119,307,Diabetic education,31,diabetic education,Unclear,1
2649991000006110,1,Latent diabetes,32,latent diabetes,Unclear,1
2683561000006119,67,Brittle diabetes mellitus,27,brittle diabetes mellitus,Unclear,1
2683581000006112,53,Labile diabetes,27,labile diabetes,Unclear,1
2683591000006110,3,Unstable diabetes mellitus,27,unstable diabetes mellitus,Unclear,1
2867421000006114,2,Insulin dependent diabetes mellitus type 1A,31,insulin dependent diabetes mellitus type 1a,Type 1 DM,1
2867431000006112,6,Insulin dependent diabetes mellitus type IA,31,insulin dependent diabetes mellitus type ia,Type 1 DM,1
2900951000006115,7,Diabetic eye disease,32,diabetic eye disease,Unclear,1
2906401000006113,202,Diabetic retinal microaneurysm,32,diabetic retinal microaneurysm,Unclear,1
3039941000006118,2,Pineal hyperplasia AND diabetes mellitus syndrome,32,pineal hyperplasia and diabetes mellitus syndrome,Unclear,1
3050291000006112,1,Adult diabetes diet,31,adult diabetes diet,Unclear,1
3102571000006114,1,Diabetic urine,31,diabetic urine,Unclear,1
3115111000006117,1,Diarrhoea in diabetes,31,diarrhoea in diabetes,Unclear,1
3136191000006114,12,Administration of insulin,31,administration of insulin,Unclear,1
3209431000006116,16,Diabetes mellitus type II,32,diabetes mellitus type ii,Type 2 DM,1
3209441000006114,542,Diabetes mellitus type 2,32,diabetes mellitus type 2,Type 2 DM,1
3253231000006110,79,Diabetes mellitus type I,32,diabetes mellitus type i,Type 1 DM,1
3253241000006117,65,Diabetes mellitus type 1,32,diabetes mellitus type 1,Type 1 DM,1
3286521000006111,209,Drug resistance to insulin,32,drug resistance to insulin,Unclear,1
3292081000006115,5,Bullosis diabeticorum,31,bullosis diabeticorum,Unclear,1
3319861000006118,487,Diabetic autonomic neuropathy,32,diabetic autonomic neuropathy,Unclear,1
3459801000006118,1,Diabetes mellitus associated with hormonal aetiology,32,diabetes mellitus associated with hormonal aetiology,Unclear,1
3511581000006114,13,Pretibial pigmental patches in diabetes,32,pretibial pigmental patches in diabetes,Unclear,1
3603911000006118,38232,Insulin,31,insulin,Unclear,1
3634971000006115,10,Insulin pump,31,insulin pump,Unclear,1
3690681000006114,5,DM - Diabetes mellitus,32,dm - diabetes mellitus,Unclear,1
3938481000006117,2,Impaired glucose tolerance associated with insulin receptor abnormality,32,impaired glucose tolerance associated with insulin receptor abnormality,Unclear,1
4071011000006119,3,Insulin human,31,insulin human,Unclear,1
4383621000006112,2,Diabetic mixed sensory-motor polyneuropathy,31,diabetic mixed sensory-motor polyneuropathy,Unclear,1
4392131000006114,3,Diabetic sensory polyneuropathy,31,diabetic sensory polyneuropathy,Unclear,1
4392141000006116,10,Lipoatrophic diabetes,32,lipoatrophic diabetes,Unclear,1
4392201000006111,3,Diabetic peripheral vascular disease,32,diabetic peripheral vascular disease,Unclear,1
4392221000006118,39,Peripheral angiopathy due to diabetes mellitus,32,peripheral angiopathy due to diabetes mellitus,Unclear,1
4636411000006110,1209,Diet controlled diabetes mellitus,1,diet controlled diabetes mellitus,Unclear,1
4636471000006118,5927,Has seen dietitian - diabetes,1,has seen dietitian - diabetes,Unclear,1
4636711000006116,8,Diabetes: shared care program,1,diabetes: shared care program,Unclear,1
4726201000006118,16,Diabetology domiciliary visit requested,40,diabetology domiciliary visit requested,Unclear,1
4758011000006112,4,Type 2 diabetes mellitus with hyperosmolar coma,32,type 2 diabetes mellitus with hyperosmolar coma,Type 2 DM,1
4758121000006115,31,Insulin-dependent diabetes maturity onset,32,insulin-dependent diabetes maturity onset,Unclear,1
4771421000006116,16,PPDR - Preproliferative diabetic retinopathy,32,ppdr - preproliferative diabetic retinopathy,Unclear,1
4796321000006113,97,Pre-existing type 2 diabetes mellitus,32,pre-existing type 2 diabetes mellitus,Type 2 DM,1
4807571000006117,1,Ischemic ulcer diabetic foot,32,ischemic ulcer diabetic foot,Unclear,1
4808881000006117,207,Diabetic hand syndrome,32,diabetic hand syndrome,Unclear,1
4808891000006119,1,Diabetic cheirarthropathy,32,diabetic cheirarthropathy,Unclear,1
4808921000006113,738,Diabetic neuropathic arthropathy,32,diabetic neuropathic arthropathy,Unclear,1
5009561000006114,1,Diabetic chronic painful polyneuropathy,32,diabetic chronic painful polyneuropathy,Unclear,1
5030691000006115,2,Proliferative diabetic retinopathy with new vessels on disc,31,proliferative diabetic retinopathy with new vessels on disc,Unclear,1
5030741000006118,2,Proliferative diabetic retinopathy with new vessels elsewhere than on disc,31,proliferative diabetic retinopathy with new vessels elsewhere than on disc,Unclear,1
5030771000006114,4,Diabetic traction retinal detachment,31,diabetic traction retinal detachment,Unclear,1
5095031000006114,709,Microalbuminuric diabetic nephropathy,32,microalbuminuric diabetic nephropathy,Unclear,1
5109411000006118,59,Hyperglycaemic disorder,31,hyperglycaemic disorder,Unclear,1
5109461000006115,4,Diabetes type 2 on insulin,32,diabetes type 2 on insulin,Type 2 DM,1
5109561000006119,70,"Maturity onset diabetes of the young, type 2",32,"maturity onset diabetes of the young, type 2",Type 2 DM,1
5109611000006116,1024,MODY - Maturity onset diabetes in youth type 2,32,mody - maturity onset diabetes in youth type 2,Type 2 DM,1
5109621000006112,144,MODY - Maturity onset diabetes glucokinase-related,32,mody - maturity onset diabetes glucokinase-related,Unclear,1
5109901000006112,1,Diabetic severe hyperglycemia,32,diabetic severe hyperglycemia,Unclear,1
5110001000006118,87,Pregnancy and type 2 diabetes mellitus,32,pregnancy and type 2 diabetes mellitus,Type 2 DM,1
5110071000006112,122,Hypoglycaemic event in diabetes,32,hypoglycaemic event in diabetes,Unclear,1
5110081000006110,1,Hypoglycemic event in diabetes,32,hypoglycemic event in diabetes,Unclear,1
5110091000006113,31,Hypoglycaemic state in diabetes,31,hypoglycaemic state in diabetes,Unclear,1
5110101000006119,1,Hypoglycemic state in diabetes,31,hypoglycemic state in diabetes,Unclear,1
5127711000006113,1,Insulin injection pad,5,insulin injection pad,Unclear,1
5128751000006113,3,Diabetic thick skin syndrome,31,diabetic thick skin syndrome,Unclear,1
5128771000006115,3,Diabetic rubeosis,31,diabetic rubeosis,Unclear,1
5192411000006114,2836,Diabetic monitoring status,1,diabetic monitoring status,Unclear,1
5231271000006117,10,Insulin used,31,insulin used,Unclear,1
5311801000006112,4,LHRH - Insulin/thyrotropin releasing hormone/luteinising hormone releasing hormone test,31,lhrh - insulin/thyrotropin releasing hormone/luteinising hormone releasing hormone test,Unclear,1
5311811000006110,1,LHRH - Insulin/thyrotropin releasing hormone/luteinizing hormone releasing hormone test,31,lhrh - insulin/thyrotropin releasing hormone/luteinizing hormone releasing hormone test,Unclear,1
5313021000006113,1,Insulin stimulation test,31,insulin stimulation test,Unclear,1
5505651000006113,50,Diabetes mellitus uncontrolled,27,diabetes mellitus uncontrolled,Unclear,1
5513671000006116,2,Hemoglobin A1C - diabetic control interpretation,11,hemoglobin a1c - diabetic control interpretation,Unclear,1
5514321000006111,2,ITT - Insulin tolerance test,31,itt - insulin tolerance test,Unclear,1
5549741000006110,18,Diabetes clinic satisfaction questionnaire,31,diabetes clinic satisfaction questionnaire,Unclear,1
5549771000006119,31,DTSQ - Diabetes treatment satisfaction questionnaire,32,dtsq - diabetes treatment satisfaction questionnaire,Unclear,1
5634901000006116,1188,Diabetic foot,32,diabetic foot,Unclear,1
5754581000006110,39,Brittle type 1 diabetes mellitus,32,brittle type 1 diabetes mellitus,Type 1 DM,1
5809871000006117,3,Insulin allergy,5,insulin allergy,Unclear,1
5933621000006118,24,Perceived control of insulin-dependent diabetes,32,perceived control of insulin-dependent diabetes,Unclear,1
5942001000006110,13,Under care of diabetic liaison nurse,31,under care of diabetic liaison nurse,Unclear,1
5949691000006115,1,Referral by diabetic liaison nurse,31,referral by diabetic liaison nurse,Unclear,1
5976641000006118,12,Admission to diabetic department,31,admission to diabetic department,Unclear,1
5979491000006119,1998,Diabetes monitoring call,31,diabetes monitoring call,Unclear,1
5981421000006112,2,Insulin injection,32,insulin injection,Unclear,1
5991031000006119,20,History of hospital admission in last year for hyperglycaemic disorder,32,history of hospital admission in last year for hyperglycaemic disorder,Unclear,1
5999771000006115,67418,Diabetes monitoring invitation,37,diabetes monitoring invitation,Unclear,1
6022581000006116,857,Mild non-proliferative diabetic retinopathy,31,mild non-proliferative diabetic retinopathy,Unclear,1
6022611000006112,31,Mild nonproliferative diabetic retinopathy,31,mild nonproliferative diabetic retinopathy,Unclear,1
6022621000006116,186,Moderate nonproliferative diabetic retinopathy,31,moderate nonproliferative diabetic retinopathy,Unclear,1
6022671000006115,3,Proliferative diabetic retinopathy - non high risk,31,proliferative diabetic retinopathy - non high risk,Unclear,1
6022691000006119,34,Early proliferative diabetic retinopathy,31,early proliferative diabetic retinopathy,Unclear,1
6022721000006112,308,Proliferative diabetic retinopathy - high risk,32,proliferative diabetic retinopathy - high risk,Unclear,1
6022761000006118,14,Proliferative diabetic retinopathy - quiescent,31,proliferative diabetic retinopathy - quiescent,Unclear,1
6022831000006119,37,Diabetic vitreous haemorrhage,31,diabetic vitreous haemorrhage,Unclear,1
6022841000006112,2,Diabetic vitreous hemorrhage,31,diabetic vitreous hemorrhage,Unclear,1
6022871000006116,4,Clinically significant diabetic macular oedema,31,clinically significant diabetic macular oedema,Unclear,1
6022921000006114,20288,Diabetic macular oedema,32,diabetic macular oedema,Unclear,1
6022931000006112,34,Diabetic macular edema,32,diabetic macular edema,Unclear,1
6030001000006116,25,Insulin-dependent diabetes without complication,32,insulin-dependent diabetes without complication,Unclear,1
6041331000006116,1,Diffuse diabetic maculopathy,31,diffuse diabetic maculopathy,Unclear,1
6041341000006114,11,Focal diabetic maculopathy,31,focal diabetic maculopathy,Unclear,1
6041411000006117,8,Ischaemic diabetic maculopathy,31,ischaemic diabetic maculopathy,Unclear,1
6041421000006113,1,Ischemic diabetic maculopathy,31,ischemic diabetic maculopathy,Unclear,1
6041431000006111,8,Mixed diabetic maculopathy,31,mixed diabetic maculopathy,Unclear,1
6047101000006117,7,Diabetic optic papillopathy,31,diabetic optic papillopathy,Unclear,1
6050041000006115,1,Insulin dependent diabetes mellitus with hypoglycaemic coma,32,insulin dependent diabetes mellitus with hypoglycaemic coma,Type 1 DM,1
6348911000006117,9848,Diabetic foot ulcer,32,diabetic foot ulcer,Unclear,1
6443801000006114,2,Insulin administration assessment,31,insulin administration assessment,Unclear,1
6443841000006111,1,Insulin administration management,31,insulin administration management,Unclear,1
6444031000006114,39,Diabetic care assessment,31,diabetic care assessment,Unclear,1
6444051000006119,3562,Diabetic care,31,diabetic care,Unclear,1
6444071000006112,7228,Diabetic care education,17,diabetic care education,Unclear,1
6444101000006119,3,Diabetic care management,31,diabetic care management,Unclear,1
6515171000006112,2661,Nonproliferative diabetic retinopathy,32,nonproliferative diabetic retinopathy,Unclear,1
6515201000006111,44,NPDR - Non proliferative diabetic retinopathy,32,npdr - non proliferative diabetic retinopathy,Unclear,1
6515211000006114,287,BDR - Background diabetic retinopathy,32,bdr - background diabetic retinopathy,Unclear,1
6515391000006110,1051,On examination - no right diabetic retinopathy,27,on examination - no right diabetic retinopathy,Unclear,1
6515431000006116,1054,On examination - no left diabetic retinopathy,27,on examination - no left diabetic retinopathy,Unclear,1
6515451000006111,1,On examination - diabetic maculopathy present both eyes,27,on examination - diabetic maculopathy present both eyes,Unclear,1
6515471000006118,53,On examination - diabetic maculopathy absent both eyes,27,on examination - diabetic maculopathy absent both eyes,Unclear,1
6516331000006118,366,DNA - Did not attend diabetic clinic,37,dna - did not attend diabetic clinic,Unclear,1
6546241000006111,26,On examination - Right diabetic foot at low risk,27,on examination - right diabetic foot at low risk,Unclear,1
6546261000006110,8,On examination - Right diabetic foot at high risk,27,on examination - right diabetic foot at high risk,Unclear,1
6546281000006117,2,On examination - Right diabetic foot - ulcerated,27,on examination - right diabetic foot - ulcerated,Unclear,1
6546321000006111,20,On examination - Left diabetic foot at low risk,27,on examination - left diabetic foot at low risk,Unclear,1
6546341000006116,7,On examination - Left diabetic foot at high risk,27,on examination - left diabetic foot at high risk,Unclear,1
6546411000006113,16,On examination - Left diabetic foot at moderate risk,27,on examination - left diabetic foot at moderate risk,Unclear,1
6546431000006119,15,On examination - Right diabetic foot at moderate risk,27,on examination - right diabetic foot at moderate risk,Unclear,1
6611521000006112,23,Diabetes self-monitoring health education,31,diabetes self-monitoring health education,Unclear,1
6612501000006110,34,Diabetic foot at risk,31,diabetic foot at risk,Unclear,1
6613341000006113,481,Diabetic monitoring - injection sites abnormal,31,diabetic monitoring - injection sites abnormal,Unclear,1
6615341000006112,7009,Diabetic monitoring - injection sites normal,31,diabetic monitoring - injection sites normal,Unclear,1
6630481000006114,1,Proliferative diabetic retinopathy - high risk with no macular oedema,31,proliferative diabetic retinopathy - high risk with no macular oedema,Unclear,1
6630561000006115,377,Diabetic macular oedema not clinically significant,31,diabetic macular oedema not clinically significant,Unclear,1
6630571000006110,7,Diabetic macular edema not clinically significant,31,diabetic macular edema not clinically significant,Unclear,1
6630581000006113,33,Very severe proliferative diabetic retinopathy,31,very severe proliferative diabetic retinopathy,Unclear,1
6630591000006111,2,Diabetic retinal venous beading,32,diabetic retinal venous beading,Unclear,1
6630631000006111,3,Diabetic intraretinal microvascular anomaly,31,diabetic intraretinal microvascular anomaly,Unclear,1
6630641000006118,1,High risk proliferative diabetic retinopathy not amenable to photocoagulation,31,high risk proliferative diabetic retinopathy not amenable to photocoagulation,Unclear,1
6630661000006119,1,Non-high-risk proliferative diabetic retinopathy with no macular oedema,31,non-high-risk proliferative diabetic retinopathy with no macular oedema,Unclear,1
6630671000006114,1,Non-high-risk proliferative diabetic retinopathy with no macular edema,31,non-high-risk proliferative diabetic retinopathy with no macular edema,Unclear,1
6630701000006110,15,Visually threatening diabetic retinopathy,31,visually threatening diabetic retinopathy,Unclear,1
6630721000006117,1,Severe nonproliferative diabetic retinopathy with clinically significant macular oedema,31,severe nonproliferative diabetic retinopathy with clinically significant macular oedema,Unclear,1
6630751000006114,2,Severe nonproliferative diabetic retinopathy with no macular oedema,31,severe nonproliferative diabetic retinopathy with no macular oedema,Unclear,1
6630801000006119,1,Proliferative diabetic retinopathy - high risk with clinically significant macular edema,31,proliferative diabetic retinopathy - high risk with clinically significant macular edema,Unclear,1
6630821000006112,1,Non-high-risk proliferative diabetic retinopathy with clinically significant macular oedema,31,non-high-risk proliferative diabetic retinopathy with clinically significant macular oedema,Unclear,1
6630851000006115,9,Very severe nonproliferative diabetic retinopathy,31,very severe nonproliferative diabetic retinopathy,Unclear,1
6670981000006118,13,Diabetic wet gangrene of the foot,31,diabetic wet gangrene of the foot,Unclear,1
6718121000006115,44,Diabetes type,31,diabetes type,Unclear,1
6761781000006114,262,On examination - right eye background diabetic retinopathy,27,on examination - right eye background diabetic retinopathy,Unclear,1
6761801000006113,356,On examination - left eye background diabetic retinopathy,27,on examination - left eye background diabetic retinopathy,Unclear,1
6761821000006115,20,On examination - right eye preproliferative diabetic retinopathy,27,on examination - right eye preproliferative diabetic retinopathy,Unclear,1
6761841000006110,13,On examination - left eye preproliferative diabetic retinopathy,27,on examination - left eye preproliferative diabetic retinopathy,Unclear,1
6761861000006114,6,On examination - right eye proliferative diabetic retinopathy,27,on examination - right eye proliferative diabetic retinopathy,Unclear,1
6761881000006116,6,On examination - left eye proliferative diabetic retinopathy,27,on examination - left eye proliferative diabetic retinopathy,Unclear,1
6811591000006115,1,Short-acting insulin,31,short-acting insulin,Unclear,1
6823401000006118,1,Insulin lispro,31,insulin lispro,Unclear,1
6837961000006116,18,Panretinal photocoagulation for diabetes,32,panretinal photocoagulation for diabetes,Unclear,1
6843971000006117,337,Attended diabetes structured education program,37,attended diabetes structured education program,Unclear,1
6866541000006117,19,On examination - left eye stable treated proliferative diabetic retinopathy,27,on examination - left eye stable treated proliferative diabetic retinopathy,Unclear,1
6866781000006116,2,On examination - right chronic diabetic foot ulcer,27,on examination - right chronic diabetic foot ulcer,Unclear,1
6866901000006111,15,On examination - right eye stable treated proliferative diabetic retinopathy,27,on examination - right eye stable treated proliferative diabetic retinopathy,Unclear,1
6872991000006113,83,Referral to diabetes structured education program,40,referral to diabetes structured education program,Unclear,1
6888611000006119,1,Diabetic record status,31,diabetic record status,Unclear,1
6931861000006110,21,Infection of foot associated with diabetes,32,infection of foot associated with diabetes,Unclear,1
6951091000006110,3,Diabetes type 1 with ketoacidosis,32,diabetes type 1 with ketoacidosis,Type 1 DM,1
6953861000006110,21716,Diabetic ketoacidosis,32,diabetic ketoacidosis,Unclear,1
6953871000006115,5,Ketoacidosis in diabetes mellitus,32,ketoacidosis in diabetes mellitus,Unclear,1
6953891000006119,8,Diabetic acidosis,32,diabetic acidosis,Unclear,1
6953901000006115,1033,DKA - diabetic ketoacidosis,32,dka - diabetic ketoacidosis,Unclear,1
6954991000006112,1,Exudative maculopathy associated with type I diabetes mellitus,32,exudative maculopathy associated with type i diabetes mellitus,Type 1 DM,1
6959811000006110,3,Diabetes type 2 with cataract,32,diabetes type 2 with cataract,Type 2 DM,1
6969931000006116,6,Diabetes type 2 with neurological disorder,32,diabetes type 2 with neurological disorder,Type 2 DM,1
6977421000006110,14,Ketoacidosis in type II diabetes mellitus,32,ketoacidosis in type ii diabetes mellitus,Type 2 DM,1
6977431000006113,1,Diabetes type 2 with ketoacidosis,32,diabetes type 2 with ketoacidosis,Type 2 DM,1
6977971000006119,2,Exudative maculopathy associated with type II diabetes mellitus,32,exudative maculopathy associated with type ii diabetes mellitus,Type 2 DM,1
6982521000006119,78,Diabetes type 2 with retinopathy,32,diabetes type 2 with retinopathy,Type 2 DM,1
6985411000006117,12,Diabetic skin ulcer,32,diabetic skin ulcer,Unclear,1
7032031000006112,46,Diabetic peripheral neuropathy,31,diabetic peripheral neuropathy,Unclear,1
7065531000006115,4,Latent autoimmune diabetes mellitus in adult (LADA),32,latent autoimmune diabetes mellitus in adult (lada),Unclear,1
7066051000006114,1,Diabetes type 1 with small vessel disease,31,diabetes type 1 with small vessel disease,Type 1 DM,1
7068831000006114,120,Diabetes mellitus due to cystic fibrosis,32,diabetes mellitus due to cystic fibrosis,Unclear,1
7069481000006115,1,Small vessel disease due to type 2 diabetes mellitus,31,small vessel disease due to type 2 diabetes mellitus,Type 2 DM,1
7081131000006113,1,Diabetic ophthalmoplegia,31,diabetic ophthalmoplegia,Unclear,1
7086001000006113,2011,Dietary education for type 2 diabetes mellitus,32,dietary education for type 2 diabetes mellitus,Type 2 DM,1
7086021000006115,2059,Dietary advice for type II diabetes,32,dietary advice for type ii diabetes,Type 2 DM,1
7098211000006116,863,Dietary education for type 1 diabetes mellitus,32,dietary education for type 1 diabetes mellitus,Type 1 DM,1
7107831000006117,1936,Diabetic education completed,17,diabetic education completed,Unclear,1
7233161000006117,1,Initiation of first time insulin therapy,31,initiation of first time insulin therapy,Unclear,1
7257031000006118,746,Does rotate site of insulin injection,31,does rotate site of insulin injection,Unclear,1
7281511000006118,19,Type 2 diabetes mellitus uncontrolled,32,type 2 diabetes mellitus uncontrolled,Type 2 DM,1
7287611000006113,218,Type 1 diabetes mellitus uncontrolled,32,type 1 diabetes mellitus uncontrolled,Type 1 DM,1
7287621000006117,1,Type I diabetes mellitus uncontrolled,32,type i diabetes mellitus uncontrolled,Type 1 DM,1
7287641000006112,1,Type 1 diabetes mellitus well controlled,31,type 1 diabetes mellitus well controlled,Type 1 DM,1
7288191000006110,1,Type 2 diabetes mellitus well controlled,31,type 2 diabetes mellitus well controlled,Type 2 DM,1
7299971000006116,23,Diabetes mellitus service,31,diabetes mellitus service,Unclear,1
7303881000006118,2,Macroalbuminuric diabetic nephropathy,32,macroalbuminuric diabetic nephropathy,Unclear,1
7305321000006114,3,Posttransplant diabetes mellitus,31,posttransplant diabetes mellitus,Unclear,1
7306751000006110,6,Brittle type 2 diabetes mellitus,27,brittle type 2 diabetes mellitus,Type 2 DM,1
7306781000006119,1,Unstable type II diabetes mellitus,27,unstable type ii diabetes mellitus,Type 2 DM,1
7381691000006117,355,Insulin pump present,27,insulin pump present,Unclear,1
7469421000006113,147,Ambulatory insulin infusion pump,31,ambulatory insulin infusion pump,Unclear,1
7480661000006114,5216,H/O diabetes mellitus type 2,31,h/o diabetes mellitus type 2,Type 2 DM,1
7480691000006118,989,H/O diabetes mellitus type 1,31,h/o diabetes mellitus type 1,Type 1 DM,1
7481691000006114,4,Complication associated with insulin pump,32,complication associated with insulin pump,Unclear,1
7483291000006111,1443,Symptomatic diabetic peripheral neuropathy absent,31,symptomatic diabetic peripheral neuropathy absent,Unclear,1
7484011000006111,1,Discussion about diabetic ketoacidosis in pregnancy,31,discussion about diabetic ketoacidosis in pregnancy,Unclear,1
7500191000006118,72,"Maturity onset diabetes of the young, type 1",32,"maturity onset diabetes of the young, type 1",Type 1 DM,1
7500211000006117,70,Pre-existing diabetes mellitus in pregnancy,32,pre-existing diabetes mellitus in pregnancy,Unclear,1
7500251000006116,1,Pregnancy and type 1 diabetes mellitus,31,pregnancy and type 1 diabetes mellitus,Type 1 DM,1
7500351000006110,2,Renal cysts and diabetes syndrome,32,renal cysts and diabetes syndrome,Unclear,1
7507871000006114,17,Diabetes self management plan,31,diabetes self management plan,Unclear,1
7565341000006118,623,Diabetes clinic,31,diabetes clinic,Unclear,1
7567341000006113,104,Diabetes foot care clinic,31,diabetes foot care clinic,Unclear,1
7567351000006110,546,Diabetes in pregnancy clinic,31,diabetes in pregnancy clinic,Unclear,1
7567371000006117,3713,Diabetic retinopathy clinic,31,diabetic retinopathy clinic,Unclear,1
7613941000006113,9,Diabetic glomerulosclerosis,31,diabetic glomerulosclerosis,Unclear,1
7682141000006117,1,Diabetic ulcer care,31,diabetic ulcer care,Unclear,1
7700041000006112,2,Assessment of diabetic foot ulcer,31,assessment of diabetic foot ulcer,Unclear,1
7704351000006117,1,Neovascular glaucoma due to diabetes mellitus,31,neovascular glaucoma due to diabetes mellitus,Unclear,1
7708051000006112,1,Gastroparesis due to diabetes mellitus type I,32,gastroparesis due to diabetes mellitus type i,Type 1 DM,1
7708081000006116,7,Gastroparesis due to diabetes mellitus,31,gastroparesis due to diabetes mellitus,Unclear,1
7728071000006113,23,Referral to diabetes service,31,referral to diabetes service,Unclear,1
7741101000006113,6,Diabetic embryopathy,32,diabetic embryopathy,Unclear,1
7804621000006115,1,Not suitable for DESMOND (Diabetes Education and Self Management for Ongoing and Newly Diagnosed) program,37,not suitable for desmond (diabetes education and self management for ongoing and newly diagnosed) program,Unclear,1
7809981000006113,3,Insulin declined,31,insulin declined,Unclear,1
7809991000006111,29,Insulin refused,31,insulin refused,Unclear,1
7812121000006117,1189,Diabetic retinopathy of eye not detected,31,diabetic retinopathy of eye not detected,Unclear,1
7812131000006119,71,Diabetic retinopathy absent,31,diabetic retinopathy absent,Unclear,1
7828041000006115,1383,Diabetic retinal eye exam,31,diabetic retinal eye exam,Unclear,1
7851731000006116,56,Diabetic mastopathy,32,diabetic mastopathy,Unclear,1
7861571000006116,3,Radiculoplexoneuropathy due to diabetes mellitus,32,radiculoplexoneuropathy due to diabetes mellitus,Unclear,1
7861581000006118,39,Diabetic radiculoplexus neuropathy,32,diabetic radiculoplexus neuropathy,Unclear,1
7863801000006113,1,Lumbosacral plexopathy co-occurrent and due to diabetes mellitus,32,lumbosacral plexopathy co-occurrent and due to diabetes mellitus,Unclear,1
7863811000006111,9,Lumbosacral plexopathy with diabetes mellitus,32,lumbosacral plexopathy with diabetes mellitus,Unclear,1
7966561000006111,67,Mixed hyperlipidaemia due to type 2 diabetes mellitus,32,mixed hyperlipidaemia due to type 2 diabetes mellitus,Type 2 DM,1
7966611000006114,12,Chronic kidney disease stage 5 due to type 2 diabetes mellitus,32,chronic kidney disease stage 5 due to type 2 diabetes mellitus,Type 2 DM,1
7966641000006113,24,Chronic kidney disease stage 4 due to type 2 diabetes mellitus,32,chronic kidney disease stage 4 due to type 2 diabetes mellitus,Type 2 DM,1
7966691000006116,39,Chronic kidney disease stage 3 due to type 2 diabetes mellitus,32,chronic kidney disease stage 3 due to type 2 diabetes mellitus,Type 2 DM,1
7966761000006115,14,Chronic kidney disease stage 2 due to type 2 diabetes mellitus,32,chronic kidney disease stage 2 due to type 2 diabetes mellitus,Type 2 DM,1
7966791000006111,11,Chronic kidney disease stage 1 due to type 2 diabetes mellitus,32,chronic kidney disease stage 1 due to type 2 diabetes mellitus,Type 2 DM,1
7966931000006114,10,Angina associated with type 2 diabetes mellitus,32,angina associated with type 2 diabetes mellitus,Type 2 DM,1
7968751000006116,23,Diabetes mellitus type 2 without retinopathy,32,diabetes mellitus type 2 without retinopathy,Type 2 DM,1
7968821000006118,2,Diabetic vitreous haemorrhage associated with type II diabetes mellitus,31,diabetic vitreous haemorrhage associated with type ii diabetes mellitus,Type 2 DM,1
7968881000006119,2,Proliferative diabetic retinopathy due to type 2 diabetes mellitus,31,proliferative diabetic retinopathy due to type 2 diabetes mellitus,Type 2 DM,1
7968951000006118,1,Diabetic peripheral neuropathy associated with type II diabetes mellitus,31,diabetic peripheral neuropathy associated with type ii diabetes mellitus,Type 2 DM,1
7969001000006112,7,Foot ulcer due to type 2 diabetes mellitus,31,foot ulcer due to type 2 diabetes mellitus,Type 2 DM,1
7969151000006110,1,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus,31,nonproliferative diabetic retinopathy due to type 2 diabetes mellitus,Type 2 DM,1
